baslik,konum,fiyat,ilan_tarihi,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer,model_tam
HATASIZ-BOYASIZ-TRAMERSİZ PEUGEOT 208 K.KARTINA 12 TAKSİT İMKANI,"Yıldıztepe Mh. Nazilli, Aydın",1.179.000 TL,20 Ağustos 2025,Peugeot,208,1.2 PureTech Allure,2021,78.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,208 1.2 PureTech Allure
DİDİM OTOLOJİ den OPEL CORSA ULTİMATE,"Yeni Mh. Didim, Aydın",1.230.000 TL,20 Ağustos 2025,Opel,Corsa,1.2 Turbo Ultimate,2023,33.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,Corsa 1.2 Turbo Ultimate
Galeriden Tofaş Doğan SLX 1995 Model Aydın,"Yedi Eylül Mh. Efeler, Aydın",230.000 TL,20 Ağustos 2025,Tofas,Doğan,SLX,1995,248.000 km,Düz,LPG & Benzin,Sedan,Yeşil (metalik),1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,1 değişen,Takasa Uygun Değil,Galeriden,,Doğan SLX
SERDAR'DAN FULL BAKIMLI OTOMATİK MAREA,"Ata Mh. Efeler, Aydın",235.000 TL,20 Ağustos 2025,Fiat,Marea,1.6 ELX,2001,315.000 km,Otomatik,Benzin,Sedan,Kahverengi,1581 cc,103 hp,Önden Çekiş,İkinci El,"10,6 lt",63 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Marea 1.6 ELX
KUSURSUZ TEMİZLİKTE TAKAS OLUR,"Yenikent Mh. Söke, Aydın",1.340.000 TL,20 Ağustos 2025,Volkswagen,VW CC,1.4 TSi,2016,186.000 km,Otomatik,Benzin,Coupe,Füme,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,,VW CC 1.4 TSi
DİDİM OTOLOJİ den VW POLO DİZEL OTOMATİK,"Yeni Mh. Didim, Aydın",1.100.000 TL,20 Ağustos 2025,Volkswagen,Polo,1.6 TDi Comfortline,2019,113.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,,Polo 1.6 TDi Comfortline
VOLKSWAGEN PASSAT 2014 MODEL TEMİZ OTOMATİK 195.000 Km,"İstiklal Mh. İncirliova, Aydın",1.090.000 TL,20 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,195.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Passat 1.6 TDi BlueMotion Comfortline
KARACARS FOCUS HATASIZ GHİA 110 HP İÇİ BEJ 1.6 TDCİ,"Yeni Mh. Didim, Aydın",495.000 TL,20 Ağustos 2025,Ford,Focus,1.6 TDCi Ghia,2007,293.000 km,Düz,Dizel,Hatchback/5,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun Değil,Galeriden,,Focus 1.6 TDCi Ghia
HAN'dan 2018 158 bin km HATASIZ K.K GEÇERLİDİR.,"Cumhuriyet Mh. Didim, Aydın",2.425.000 TL,20 Ağustos 2025,BMW,5 Serisi,520i Luxury Line,2018,158.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,,5 Serisi 520i Luxury Line
#DostaGider 2016 Mercede c180 sadece 94 bin km de ..,"Cumhuriyet Mh. Didim, Aydın",1.880.000 TL,20 Ağustos 2025,Mercedes-Benz,C,C 180 BlueEFFICIENCY Fascination,2016,94.500 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,,C C 180 BlueEFFICIENCY Fascination
OTOMATİK-DEĞIŞENSIZ-TERTEMİZ-KREDİ KARTI GEÇERLİDİR.,"Yeni Sanayi Mh. Nazilli, Aydın",505.000 TL,20 Ağustos 2025,Opel,Astra,1.6 Enjoy,2006,261.000 km,Otomatik,Benzin,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,,Astra 1.6 Enjoy
AUDİ A3 SPORTBACK..220 BİN KM DE SAFKAN BENZİNLİ,"Yeni Sanayi Mh. Nazilli, Aydın",530.000 TL,20 Ağustos 2025,Audi,A3,A3 Sportback 1.6 FSI,2005,220.000 km,Düz,Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,,A3 A3 Sportback 1.6 FSI
2005 FİAT PALİO 1.2 EL 16 VALF,"Yeni Sanayi Mh. Nazilli, Aydın",322.000 TL,20 Ağustos 2025,Fiat,Palio,1.2 EL,2005,301.000 km,Düz,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,12 boyalı,Takasa Uygun Değil,Galeriden,,Palio 1.2 EL
MÜKEMMEL KONDİSYON KUSURSUZ TEMİZLİK,"Merkez Söke, Aydın",525.000 TL,20 Ağustos 2025,Opel,Corsa,1.2 Twinport Enjoy,2007,238.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"2 değişen, 6 boyalı",Takasa Uygun,Galeriden,,Corsa 1.2 Twinport Enjoy
OPPSSYONLUU-2019 MODEL | 1.6 JOY MEGANE | SADECE 106.000 KM'DE,"Sandıklı Mh. İncirliova, Aydın",980.000 TL,20 Ağustos 2025,Renault,Megane,1.6 Joy,2019,106.000 km,Düz,Benzin,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,,Megane 1.6 Joy
HATASIZ BOYASIZ TRAMERSİZ | 2015 MODEL | SADECE 108.000 KM'DE,"Sandıklı Mh. İncirliova, Aydın",1.020.000 TL,20 Ağustos 2025,Volkswagen,Golf,1.2 TSi Comfortline,2015,108.000 km,Düz,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Golf 1.2 TSi Comfortline
HONDA CİVİC ECO EXECUTİVE | 2017 MODEL | SADECE 43.000 KM'DE..!!,"Sandıklı Mh. İncirliova, Aydın",1.490.000 TL,20 Ağustos 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2017,45.000 km,Otomatik,Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,Civic 1.6 i-VTEC Eco Executive
VOLKAN OTO GALERİDEN  Fiat Punto EVO 1.4 Active 2011 Model Aydın,"Yeni Cami Mh. Söke, Aydın",390.000 TL,20 Ağustos 2025,Fiat,Punto,EVO 1.4 Active,2011,296.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1368 cc,77 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,,Punto EVO 1.4 Active
Sahibinden Ford Focus 1.6 Comfort 2004 Model,"Çeltikçi Mh. Söke, Aydın",445.000 TL,19 Ağustos 2025,Ford,Focus,1.6 Comfort,2004,178.000 km,Düz,Benzin,Sedan,Beyaz,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,6 boyalı,Takasa Uygun,Sahibinden,,Focus 1.6 Comfort
MASRAFSIZ DOĞAN L,"Yeni Sanayi Mh. Nazilli, Aydın",128.500 TL,19 Ağustos 2025,Tofas,Doğan,L,1991,300.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,Doğan L
Sahibinden Audi A4 Sedan 1.6 2003 Model,"Nazilli OSB Nazilli, Aydın",470.000 TL,19 Ağustos 2025,Audi,A4,A4 Sedan 1.6,2003,228.000 km,Düz,LPG & Benzin,Sedan,Siyah,1595 cc,102 hp,Önden Çekiş,İkinci El,"7,7 lt",70 lt,Belirtilmemiş,,Sahibinden,,A4 A4 Sedan 1.6
ACİL-ÖĞRETMENDEN-HATASIZ-BOYASIZ-TRAMERSİZ-CAM GİBİ (NİĞDEDE),"Üçeylül Mh. Buharkent, Aydın",879.500 TL,19 Ağustos 2025,Renault,Taliant,1.0 Tce Joy,2022,83.000 km,Otomatik,Benzin,Sedan,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Taliant 1.0 Tce Joy
ACİL-UYGUN FİYAT--SERVİS BAKIMLI-HATA BOYA TRAMER YOK,"Üçeylül Mh. Buharkent, Aydın",829.500 TL,19 Ağustos 2025,Renault,Taliant,1.0 Tce Joy,2022,112.000 km,Otomatik,Benzin,Sedan,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Taliant 1.0 Tce Joy
Sahibinden Peugeot 206 1.4 X-Line 2004 Model,"Ege Mh. Kuşadası, Aydın",350.000 TL,19 Ağustos 2025,Peugeot,206,1.4 X-Line,2004,138.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,Tamamı boyalı,,Sahibinden,,206 1.4 X-Line
Sahibinden Renault Megane 1.5 dCi Extreme 2007 Model,"Umurlu Mh. Efeler, Aydın",429.000 TL,19 Ağustos 2025,Renault,Megane,1.5 dCi Extreme,2007,260.000 km,Düz,Dizel,Sedan,Siyah,1461 cc,80 hp,Önden Çekiş,İkinci El,"4,6 lt",60 lt,Belirtilmemiş,,Sahibinden,,Megane 1.5 dCi Extreme
Sahibinden Citroen C4 1.6 SX PK 2006 Model,"Adnan Menderes Mh. Efeler, Aydın",420.000 TL,19 Ağustos 2025,Citroen,C4,1.6 SX PK,2006,163.000 km,Düz,LPG & Benzin,Hatchback/5,Altın,1587 cc,111 hp,Önden Çekiş,İkinci El,"7,1 lt",60 lt,"1 değişen, 3 boyalı",,Sahibinden,,C4 1.6 SX PK
Sahibinden Hyundai i20 Troy 1.4 CRDi Mode 2011 Model,"Altınkum Mh. Didim, Aydın",465.000 TL,19 Ağustos 2025,Hyundai,i20 Troy,1.4 CRDi Mode,2011,174.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1396 cc,90 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,3 boyalı,,Sahibinden,,i20 Troy 1.4 CRDi Mode
Sahibinden Volkswagen Polo 1.4 Comfortline 2000 Model,"Yeni Mh. Nazilli, Aydın",290.000 TL,19 Ağustos 2025,Volkswagen,Polo,1.4 Comfortline,2000,318.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1390 cc,100 hp,Önden Çekiş,İkinci El,"6,7 lt",45 lt,1 değişen,,Sahibinden,,Polo 1.4 Comfortline
2001 Fiat Marea yeni muayeneye takas olur,"Davutlar Mh. Kuşadası, Aydın",196.500 TL,19 Ağustos 2025,Fiat,Marea,2.0 HLX,2001,217.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1998 cc,154 hp,Önden Çekiş,İkinci El,"9,8 lt",63 lt,Belirtilmemiş,,Sahibinden,,Marea 2.0 HLX
2004 MODEL FİAT PALİO 1.2 16 WALF DİNAMİK LPGLİ,"Yeni Sanayi Mh. Nazilli, Aydın",345.000 TL,19 Ağustos 2025,Fiat,Palio,1.2 EL,2004,270.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1242 cc,81 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,Palio 1.2 EL
Polo 1.2 TSI BMT Comfortline DSG,"Cumhuriyet Mh. Söke, Aydın",1.095.000 TL,19 Ağustos 2025,Volkswagen,Polo,1.2 TSi Comfortline,2016,58.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Polo 1.2 TSi Comfortline
Atan otomotiv güvencesinde,"Cumhuriyet Mh. Söke, Aydın",150.000 TL,19 Ağustos 2025,Renault,R 9,1.4 Spring,1994,200.000 km,Düz,Benzin,Sedan,Mavi,1390 cc,72 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,R 9 1.4 Spring
Atan otomotiv güvencesinde,"Cumhuriyet Mh. Söke, Aydın",625.000 TL,19 Ağustos 2025,Opel,Astra,1.3 CDTI Enjoy,2009,144.595 km,Düz,Dizel,Hatchback/5,Füme,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Astra 1.3 CDTI Enjoy
Sahibinden Renault Clio 1.4 2004 Model,"Güzelhisar Mh. Efeler, Aydın",325.000 TL,19 Ağustos 2025,Renault,Clio,1.4,2004,228.000 km,Düz,LPG & Benzin,Sedan,Gri,,,,İkinci El,,,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,,Clio 1.4
ÖZ ALPTAŞ'TAN 2015 POLO 1.4TDI DEĞIŞENSIZ,"Türkmen Mh. Kuşadası, Aydın",675.500 TL,19 Ağustos 2025,Volkswagen,Polo,1.4 TDi Comfortline,2015,161.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,4 lt",45 lt,4 boyalı,Takasa Uygun,Galeriden,25000.0,Polo 1.4 TDi Comfortline
Sahibinden Golf 4 1.6 Comfortline,"Cumhuriyet Mh. Efeler, Aydın",395.000 TL,19 Ağustos 2025,Volkswagen,Golf,1.6 Comfortline,2000,287.190 km,Düz,Benzin,Hatchback/5,Kırmızı,1595 cc,101 hp,Önden Çekiş,İkinci El,"7,6 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,Golf 1.6 Comfortline
1.33 COROLLA 115.000KM,"İstiklal Mh. İncirliova, Aydın",865.000 TL,19 Ağustos 2025,Toyota,Corolla,1.33 Life,2015,115.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,24000.0,Corolla 1.33 Life
Sahibinden Ford Fiesta 1.25 Flair 1997 Model,"Soğucak Mh. Kuşadası, Aydın",155.000 TL,19 Ağustos 2025,Ford,Fiesta,1.25 Flair,1997,157.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1242 cc,75 hp,Önden Çekiş,İkinci El,"7,1 lt",42 lt,Belirtilmemiş,,Sahibinden,,Fiesta 1.25 Flair
Sahibinden Renault Symbol 1.5 dCi Expression 2012 Model,"Ortaklar Mh. Germencik, Aydın",365.000 TL,19 Ağustos 2025,Renault,Symbol,1.5 dCi Expression,2012,228.420 km,Düz,Dizel,Sedan,Beyaz,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"2 değişen, 9 boyalı",Takasa Uygun,Sahibinden,,Symbol 1.5 dCi Expression
Sahibinden Tofaş Doğan SLX 1995 Model,"İstiklal Mh. İncirliova, Aydın",130.000 TL,19 Ağustos 2025,Tofas,Doğan,SLX,1995,330.000 km,Düz,LPG & Benzin,Sedan,Turkuaz,1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,,Doğan SLX
Sahibinden Fiat Tipo 1.6 SLX 1996 Model,"Yedi Eylül Mh. Efeler, Aydın",175.000 TL,19 Ağustos 2025,Fiat,Tipo,1.6 SLX,1996,66.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1581 cc,75 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,,Sahibinden,,Tipo 1.6 SLX
Sahibinden Volkswagen Golf 1.4 TSi Highline 2011 Model,"Girne Mh. Efeler, Aydın",750.000 TL,19 Ağustos 2025,Volkswagen,Golf,1.4 TSi Highline,2011,124.750 km,Düz,Benzin,Hatchback/5,Siyah,1390 cc,122 hp,Önden Çekiş,İkinci El,"6,2 lt",55 lt,"3 değişen, 3 boyalı",-,Sahibinden,,Golf 1.4 TSi Highline
Sahibinden Ford Focus 1.6 TDCi Collection 2008 Model,"Yeşil Mh. Nazilli, Aydın",430.000 TL,19 Ağustos 2025,Ford,Focus,1.6 TDCi Collection,2008,270.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,1 değişen,,Sahibinden,,Focus 1.6 TDCi Collection
2018 VOLVO S90/INSCRIPTION/4WD/235 HP/HATASIZ/BOYASIZ,"Türkmen Mh. Kuşadası, Aydın",2.950.000 TL,19 Ağustos 2025,Volvo,S90,2.0 D5 Inscription,2018,116.000 km,Otomatik,Dizel,Sedan,Gri,1801 - 2000 cm3,226 - 250 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,S90 2.0 D5 Inscription
Sahibinden Fiat Albea Sole 1.4 Fire Premio Plus 2011 Model,"Cuma Mh. Efeler, Aydın",560.000 TL,19 Ağustos 2025,Fiat,Albea,Sole 1.4 Fire Premio Plus,2011,68.000 km,Düz,Benzin,Sedan,Füme,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,2 lt",48 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,Albea Sole 1.4 Fire Premio Plus
HATASIZ DEĞİŞENSİZ OTOMATİK 140 BG JETTA,"Altıeylül Mh. Köşk, Aydın",665.000 TL,19 Ağustos 2025,Volkswagen,Jetta,1.4 TSi Comfortline,2008,223.000 km,Otomatik,Benzin,Sedan,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,4 boyalı,Takasa Uygun,Galeriden,765.0,Jetta 1.4 TSi Comfortline
Sahibinden Opel Corsa 1.0 Essentia 2006 Model,"Yeni Mh. Didim, Aydın",372.000 TL,19 Ağustos 2025,Opel,Corsa,1.0 Essentia,2006,188.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),998 cc,60 hp,Önden Çekiş,İkinci El,"5,3 lt",44 lt,"1 değişen, 4 boyalı",Takasa Uygun,Sahibinden,,Corsa 1.0 Essentia
Sahibinden Renault R 19 1.6 Europa RNE 2000 Model,"Zafer Mh. Efeler, Aydın",279.999 TL,19 Ağustos 2025,Renault,R 19,1.6 Europa RNE,2000,287.000 km,Düz,LPG & Benzin,Sedan,Beyaz,,,,İkinci El,,,"1 değişen, 4 boyalı",,Sahibinden,,R 19 1.6 Europa RNE
Sahibinden Fiat Egea 1.4 Fire Easy Plus 2023 Model,"Park Mh. Germencik, Aydın",850.000 TL,19 Ağustos 2025,Fiat,Egea,1.4 Fire Easy Plus,2023,14.500 km,Düz,Benzin,Sedan,Gri,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Belirtilmemiş,,Sahibinden,,Egea 1.4 Fire Easy Plus
Sahibinden Opel Corsa 1.2 Essentia 2004 Model,"Orta Mh. Efeler, Aydın",360.000 TL,19 Ağustos 2025,Opel,Corsa,1.2 Essentia,2004,183.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1199 cc,75 hp,Önden Çekiş,İkinci El,6 lt,44 lt,Belirtilmemiş,,Sahibinden,,Corsa 1.2 Essentia
En dolusu skypack otomatik 95 binde hatasız,"Söke OSB Mh. Söke, Aydın",1.015.000 TL,19 Ağustos 2025,Toyota,Yaris,1.33 Fun Special Skypack,2016,95.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,,Yaris 1.33 Fun Special Skypack
TEMİZ DÜŞÜK KM BROADWAY,"Yenidoğan Mh. Söke, Aydın",240.000 TL,19 Ağustos 2025,Renault,R 9,1.4 Broadway,1993,227.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,R 9 1.4 Broadway
"Denvar Motors""WV GOLF BOYASIZ COMFORTLİNE DSG BAKIMLI","Orta Mh. Koçarlı, Aydın",1.190.000 TL,19 Ağustos 2025,Volkswagen,Golf,1.2 TSi Comfortline,2014,96.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Golf 1.2 TSi Comfortline
Sahibinden Skoda Felicia 1.3 LX 1995 Model,"İstiklal Mh. İncirliova, Aydın",135.000 TL,19 Ağustos 2025,Skoda,Felicia,1.3 LX,1995,335.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1289 cc,55 hp,Önden Çekiş,İkinci El,7 lt,42 lt,12 boyalı,,Sahibinden,,Felicia 1.3 LX
Sahibinden Seat Leon 1.6 Stylance 2006 Model  293.000 km Gri,"Orta Mh. Efeler, Aydın",465.000 TL,19 Ağustos 2025,Seat,Leon,1.6 Stylance,2006,293.000 km,Düz,Benzin,Hatchback/5,Gri,1595 cc,102 hp,Önden Çekiş,İkinci El,"7,6 lt",55 lt,"4 değişen, 8 boyalı",,Sahibinden,,Leon 1.6 Stylance
ORIGINAL MEGANE 2,"Cumhuriyet Mh. Söke, Aydın",420.000 TL,19 Ağustos 2025,Renault,Megane,1.6 Dynamique,2004,238.000 km,Düz,Benzin,Sedan,Yeşil,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,9 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,,Megane 1.6 Dynamique
Sahibinden Opel Corsa 1.3 CDTI Enjoy 2012 Model,"Yeşil Mh. Nazilli, Aydın",525.000 TL,19 Ağustos 2025,Opel,Corsa,1.3 CDTI Enjoy,2012,203.000 km,Düz,Dizel,Hatchback/5,Lacivert,1248 cc,75 hp,Önden Çekiş,İkinci El,4 lt,45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,Corsa 1.3 CDTI Enjoy
ERTOĞANLAR OTOMOTİV DEN CLİO 1.4 RNA KLİMALI,"Cumhuriyet Mh. Çine, Aydın",300.000 TL,19 Ağustos 2025,Renault,Clio,1.4 RNA,2000,185.000 km,Düz,Benzin,Sedan,Gri,1390 cc,75 hp,Önden Çekiş,İkinci El,"7,1 lt",50 lt,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden,2500.0,Clio 1.4 RNA
Sahibinden Fiat Palio 1.4 EL 2000 Model,"Adnan Menderes Mh. Efeler, Aydın",255.000 TL,19 Ağustos 2025,Fiat,Palio,1.4 EL,2000,262.567 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,,,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,Palio 1.4 EL
Sahibinden Değişensiz Renault Megane 1.5 dCi Dynamique 2004 Model  270.000 km Gri,"Efeler Mh. Efeler, Aydın",345.000 TL,19 Ağustos 2025,Renault,Megane,1.5 dCi Dynamique,2004,271.000 km,Düz,Dizel,Sedan,Gri,1461 cc,80 hp,Önden Çekiş,İkinci El,"4,6 lt",60 lt,4 boyalı,,Sahibinden,,Megane 1.5 dCi Dynamique
ÇOK TEMİZ DÜŞÜK KM CLİO,"Yenidoğan Mh. Söke, Aydın",600.000 TL,19 Ağustos 2025,Renault,Clio,1.2 Joy,2013,99.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,,Clio 1.2 Joy
Klimalı değişen yok hasar kaydı yok,"Efeler Mh. Didim, Aydın",295.000 TL,19 Ağustos 2025,Opel,Corsa,1.4 GLS,2000,261.000 km,Düz,Benzin,Hatchback/5,Mavi,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Corsa 1.4 GLS
#DostaGider 2011 Corsa 1.3 cdti 179 bin km hatasıza yakın,"Cumhuriyet Mh. Didim, Aydın",565.000 TL,19 Ağustos 2025,Opel,Corsa,1.3 CDTI Enjoy,2011,179.500 km,Düz,Dizel,Hatchback/5,Siyah,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,,Corsa 1.3 CDTI Enjoy
2011 MODEL OPEL ASTRA 1.4 T OTOMATİK VİTES EN UYGUN FİYATA,"Yeni Sanayi Mh. Nazilli, Aydın",645.000 TL,19 Ağustos 2025,Opel,Astra,1.4 T Cosmo,2011,244.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1364 cc,140 hp,Önden Çekiş,İkinci El,7 lt,56 lt,4 boyalı,Takasa Uygun,Galeriden,1000.0,Astra 1.4 T Cosmo
YÜKSEL OTOMOTİVDEN DEĞİŞENSİZ MERCEDES 200 E OTOMATİK SANRUFLU,"Cumhuriyet Mh. Çine, Aydın",425.000 TL,19 Ağustos 2025,Mercedes-Benz,200,E,1990,438.000 km,Otomatik,Benzin,Sedan,Siyah,1801 - 2000 cm3,101 - 125 HP,Arkadan İtiş,İkinci El,,,9 boyalı,Takasa Uygun Değil,Galeriden,,200 E
Astra 1.3 CDTI SPORT Kusursuz,"Efeler Mh. Didim, Aydın",615.000 TL,19 Ağustos 2025,Opel,Astra,1.3 CDTI Sport,2012,213.000 km,Düz,Dizel,Hatchback/5,Siyah,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,3550.0,Astra 1.3 CDTI Sport
DİDİM OTOMOTİV GÜVENCESİ İLE HONDA,"Cumhuriyet Mh. Didim, Aydın",479.750 TL,19 Ağustos 2025,Honda,Civic,1.6 i-VTEC ES,2002,262.450 km,Otomatik,Benzin,Sedan,Lacivert,1590 cc,110 hp,Önden Çekiş,İkinci El,7 lt,50 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,,Civic 1.6 i-VTEC ES
2004 MERCEDES-BENZ E 200 KOMP. AVANTGARDE SADECE 217.00 KM DE..,"Yeni Sanayi Mh. Nazilli, Aydın",988.500 TL,19 Ağustos 2025,Mercedes-Benz,E,200 Kompressor Avantgarde,2004,217.000 km,Otomatik,Benzin,Sedan,Bej,1796 cc,163 hp,Arkadan İtiş,İkinci El,"8,7 lt",65 lt,7 boyalı,Takasa Uygun,Galeriden,,E 200 Kompressor Avantgarde
